1回目  行動=2 行動前の状態１lidarbufpast=36364 行動前の状態２lidarcatchpast=222052 robo_x=1477.985265 robo_y=746.611549 Lidar_x=1500 Lidar_y=1500 dist_now=1503.549628 dist_past=0.000000
2回目  行動=3 行動前の状態１lidarbufpast=25373 行動前の状態２lidarcatchpast=217716 robo_x=1724.370229 robo_y=755.692741 Lidar_x=1706 Lidar_y=521 
3回目  行動=0 行動前の状態１lidarbufpast=45274 行動前の状態２lidarcatchpast=152435 robo_x=1699.803025 robo_y=513.020347 Lidar_x=1695 Lidar_y=768 
4回目  行動=2 行動前の状態１lidarbufpast=44284 行動前の状態２lidarcatchpast=283252 robo_x=1695.623811 robo_y=767.047928 Lidar_x=1938 Lidar_y=792 
5回目  行動=0 行動前の状態１lidarbufpast=54186 行動前の状態２lidarcatchpast=279172 robo_x=1941.021041 robo_y=783.998123 Lidar_x=1926 Lidar_y=1050 
6回目  行動=3 行動前の状態１lidarbufpast=44284 行動前の状態２lidarcatchpast=344454 robo_x=1939.751056 robo_y=1036.935561 Lidar_x=1919 Lidar_y=797 
7回目  行動=0 行動前の状態１lidarbufpast=54186 行動前の状態２lidarcatchpast=279172 robo_x=1924.415249 robo_y=787.922439 Lidar_x=1907 Lidar_y=1049 
8回目  行動=3 行動前の状態１lidarbufpast=44284 行動前の状態２lidarcatchpast=344454 robo_x=1921.471695 robo_y=1041.902707 Lidar_x=1908 Lidar_y=797 
9回目  行動=0 行動前の状態１lidarbufpast=54186 行動前の状態２lidarcatchpast=279172 robo_x=1909.061619 robo_y=791.634395 Lidar_x=1896 Lidar_y=1054 
10回目  行動=3 行動前の状態１lidarbufpast=44284 行動前の状態２lidarcatchpast=344454 robo_x=1906.830676 robo_y=1046.622888 Lidar_x=1889 Lidar_y=811 
11回目  行動=0 行動前の状態１lidarbufpast=54186 行動前の状態２lidarcatchpast=279172 robo_x=1891.552367 robo_y=799.458641 Lidar_x=1879 Lidar_y=1059 
12回目  行動=3 行動前の状態１lidarbufpast=44284 行動前の状態２lidarcatchpast=344454 robo_x=1892.802259 robo_y=1053.599751 Lidar_x=1879 Lidar_y=805 
13回目  行動=0 行動前の状態１lidarbufpast=54186 行動前の状態２lidarcatchpast=279172 robo_x=1880.061017 robo_y=805.006992 Lidar_x=1866 Lidar_y=1066 
14回目  行動=3 行動前の状態１lidarbufpast=44284 行動前の状態２lidarcatchpast=344454 robo_x=1877.491393 robo_y=1060.579332 Lidar_x=1858 Lidar_y=820 
15回目  行動=0 行動前の状態１lidarbufpast=54186 行動前の状態２lidarcatchpast=279172 robo_x=1857.746312 robo_y=816.933155 Lidar_x=1839 Lidar_y=1072 
16回目  行動=3 行動前の状態１lidarbufpast=44274 行動前の状態２lidarcatchpast=344454 robo_x=1849.610075 robo_y=1071.808655 Lidar_x=1838 Lidar_y=825 
17回目  行動=0 行動前の状態１lidarbufpast=54176 行動前の状態２lidarcatchpast=279156 robo_x=1841.302407 robo_y=824.239906 Lidar_x=1824 Lidar_y=1084 
18回目  行動=2 行動前の状態１lidarbufpast=53196 行動前の状態２lidarcatchpast=344438 robo_x=1833.934785 robo_y=1078.031569 Lidar_x=2061 Lidar_y=1099 
19回目  行動=3 行動前の状態１lidarbufpast=44295 行動前の状態２lidarcatchpast=340374 robo_x=2070.422992 robo_y=1095.573023 Lidar_x=2058 Lidar_y=853 
20回目  行動=3 行動前の状態１lidarbufpast=34383 行動前の状態２lidarcatchpast=279189 robo_x=2058.366871 robo_y=846.277835 Lidar_x=2040 Lidar_y=607 
21回目  行動=0 行動前の状態１lidarbufpast=44285 行動前の状態２lidarcatchpast=213891 robo_x=2040.393884 robo_y=596.307977 Lidar_x=2029 Lidar_y=862 
22回目  行動=2 行動前の状態１lidarbufpast=432a5 行動前の状態２lidarcatchpast=279173 robo_x=2037.628172 robo_y=854.463765 Lidar_x=2269 Lidar_y=858 
23回目  行動=1 行動前の状態１lidarbufpast=44285 行動前の状態２lidarcatchpast=275109 robo_x=2271.226930 robo_y=854.651006 Lidar_x=2019 Lidar_y=873 
24回目  行動=2 行動前の状態１lidarbufpast=43295 行動前の状態２lidarcatchpast=279173 robo_x=2020.873514 robo_y=858.168878 Lidar_x=2251 Lidar_y=862 
25回目  行動=1 行動前の状態１lidarbufpast=44285 行動前の状態２lidarcatchpast=275093 robo_x=2260.450526 robo_y=856.740790 Lidar_x=2009 Lidar_y=869 
26回目  行動=0 行動前の状態１lidarbufpast=54186 行動前の状態２lidarcatchpast=279173 robo_x=2009.161098 robo_y=859.589666 Lidar_x=2001 Lidar_y=1117 
27回目  行動=3 行動前の状態１lidarbufpast=44295 行動前の状態２lidarcatchpast=344454 robo_x=2011.279159 robo_y=1110.002791 Lidar_x=1974 Lidar_y=908 
28回目  行動=2 行動前の状態１lidarbufpast=43295 行動前の状態２lidarcatchpast=279189 robo_x=1970.203762 robo_y=901.341386 Lidar_x=2214 Lidar_y=884 
29回目  行動=1 行動前の状態１lidarbufpast=44285 行動前の状態２lidarcatchpast=275093 robo_x=2213.076557 robo_y=882.571417 Lidar_x=1971 Lidar_y=910 
30回目  行動=3 行動前の状態１lidarbufpast=34383 行動前の状態２lidarcatchpast=279173 robo_x=1976.406983 robo_y=907.429726 Lidar_x=1946 Lidar_y=671 
31回目  行動=0 行動前の状態１lidarbufpast=44285 行動前の状態２lidarcatchpast=213891 robo_x=1949.073188 robo_y=661.798743 Lidar_x=1940 Lidar_y=927 
32回目  行動=2 行動前の状態１lidarbufpast=43295 行動前の状態２lidarcatchpast=279173 robo_x=1952.602814 robo_y=921.215535 Lidar_x=2172 Lidar_y=937 
33回目  行動=1 行動前の状態１lidarbufpast=44285 行動前の状態２lidarcatchpast=275093 robo_x=2184.223687 robo_y=933.643713 Lidar_x=1915 Lidar_y=945 
34回目  行動=3 行動前の状態１lidarbufpast=34384 行動前の状態２lidarcatchpast=279173 robo_x=1931.947126 robo_y=938.431380 Lidar_x=1911 Lidar_y=693 
35回目  行動=0 行動前の状態１lidarbufpast=54285 行動前の状態２lidarcatchpast=213892 robo_x=1912.360218 robo_y=689.290837 Lidar_x=1909 Lidar_y=948 
36回目  行動=2 行動前の状態１lidarbufpast=43295 行動前の状態２lidarcatchpast=344709 robo_x=1917.857518 robo_y=947.256291 Lidar_x=2142 Lidar_y=955 
37回目  行動=1 行動前の状態１lidarbufpast=54285 行動前の状態２lidarcatchpast=275093 robo_x=2156.147460 robo_y=954.713441 Lidar_x=1897 Lidar_y=953 
38回目  行動=2 行動前の状態１lidarbufpast=43295 行動前の状態２lidarcatchpast=344709 robo_x=1908.350483 robo_y=946.055852 Lidar_x=2138 Lidar_y=956 
39回目  行動=1 行動前の状態１lidarbufpast=54285 行動前の状態２lidarcatchpast=275093 robo_x=2150.900307 robo_y=953.852577 Lidar_x=1886 Lidar_y=949 
40回目  行動=2 行動前の状態１lidarbufpast=43295 行動前の状態２lidarcatchpast=344709 robo_x=1899.365336 robo_y=946.301802 Lidar_x=2130 Lidar_y=953 
41回目  行動=1 行動前の状態１lidarbufpast=54285 行動前の状態２lidarcatchpast=275093 robo_x=2141.439641 robo_y=955.397440 Lidar_x=1879 Lidar_y=946 
42回目  行動=2 行動前の状態１lidarbufpast=53295 行動前の状態２lidarcatchpast=344709 robo_x=1887.847560 robo_y=944.918019 Lidar_x=2087 Lidar_y=984 
43回目  行動=0 行動前の状態１lidarbufpast=53197 行動前の状態２lidarcatchpast=340629 robo_x=2100.435204 robo_y=981.932910 Lidar_x=2076 Lidar_y=1231 
44回目  行動=1 行動前の状態１lidarbufpast=63177 行動前の状態２lidarcatchpast=340375 robo_x=2086.642847 robo_y=1230.913202 Lidar_x=1821 Lidar_y=1221 
45回目  行動=3 行動前の状態１lidarbufpast=54275 行動前の状態２lidarcatchpast=405879 robo_x=1835.673337 robo_y=1218.420496 Lidar_x=1813 Lidar_y=975 
46回目  行動=1 行動前の状態１lidarbufpast=55265 行動前の状態２lidarcatchpast=344693 robo_x=1819.990860 robo_y=972.759184 Lidar_x=1562 Lidar_y=969 
47回目  行動=0 行動前の状態１lidarbufpast=62167 行動前の状態２lidarcatchpast=348773 robo_x=1570.089090 robo_y=969.105568 Lidar_x=1556 Lidar_y=1212 
48回目  行動=2 行動前の状態１lidarbufpast=62177 行動前の状態２lidarcatchpast=401767 robo_x=1556.450688 robo_y=1220.585020 Lidar_x=1796 Lidar_y=1233 
49回目  行動=1 行動前の状態１lidarbufpast=63167 行動前の状態２lidarcatchpast=401783 robo_x=1804.652478 robo_y=1228.341392 Lidar_x=1546 Lidar_y=1216 
50回目  行動=0 行動前の状態１lidarbufpast=71068 行動前の状態２lidarcatchpast=405863 robo_x=1554.775454 robo_y=1219.629374 Lidar_x=1536 Lidar_y=1313 
壁衝突!! 現在位置 Lidar_x座標: 1536 Lidar_y座標: 1313 ICP_x座標: 1542.730358 ICP_y座標: 1345.134628 
